"type","title","link_j","author","journal","volume","pages","year"
"2","A norm-preserving self-adaptive moving mesh integrator for the short pulse equation","http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/1995.html","S. Sato, T. Matsuo, B.-F. Feng","RIMS Kokyuroku","No. 1995","82--91","2016"
"1","Making bidirected graphs strongly connected","","T. Matsuoka, S. Sato","The 10th Japanese-Hungarian Symposium on Discrete Mathematics and Its Applications","","387--396","2017"
"2","保存則をもつ微分代数方程式に対する離散勾配法","https://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/2167.html","佐藤 峻","RIMS Kokyuroku","No. 2167","107--117","2020"
